companyName,title,min_years,max_years,location,work_from_home,femaleCandidate,differentlyAbled,exDefence
Paytm,Paytm - Senior Quality Assurance Engineer - Manual & Automation Testing (3-6 yrs),3,6,"Noida,Delhi NCR,Gurgaon/Gurugram,Delhi",0,0,0,0
Samsung Electro Mechanics,Samsung Electro Mechanics - Test Engineer - Android Testing (2-7 yrs),2,7,Bangalore,0,0,0,0
Samsung Electro Mechanics,Samsung Electro Mechanics - Test Engineer - GUI Testing (3-5 yrs),3,5,Bangalore,0,0,0,0
Wolves Recruitment and Staffing Pvt Ltd,Senior Software Engineer - Automation Testing (5-8 yrs),5,8,Bangalore,0,1,0,0
Finxera,Finxera - Senior Quality Assurance Engineer - Functional Testing (5-10 yrs),5,10,Chandigarh,0,0,0,0
Finxera,Finxera - Senior Quality Assurance Engineer - Manual/Functional Testing (5-10 yrs),5,10,Chandigarh,0,0,0,0
Finxera,Finxera - ETL Database Testing - Performance Testing (3-7 yrs),3,7,Chandigarh,0,0,0,0
HR,EY - SQL Test Engineer - ETL/Datawarehouse Testing - Banking Domain (3-7 yrs),3,7,Hyderabad,0,0,0,0
Awign,Golang Tester - JMeter/POSTMAN (3-8 yrs),3,8,"Bangalore,Hyderabad,Chennai,Pune",0,0,0,0
Bharti Airtel Limited,Airtel - Lead Senior Software Development Engineer - Test - Mobile Testing (5-8 yrs),5,8,Gurgaon/Gurugram,0,0,0,0
Bharti Airtel Limited,Airtel - Senior Software Development Engineer - Test - Manual/Automation Testing (2-4 yrs),2,4,Pune,0,0,0,0
Bharti Airtel Limited,Airtel - Senior Software Development Engineer - Test - Manual/Automation Testing (2-4 yrs),2,4,Gurgaon/Gurugram,0,0,0,0
head digital,Head Digital Works - API Test Engineer - Automation Testing (4-9 yrs),4,9,Hyderabad,0,0,0,0
Pocket FM,Pocket FM - Quality Assurance Engineer - Mobile App Testing (2-6 yrs),2,6,"Anywhere in India/Multiple Locations,Any Location",1,0,0,0
Industrybuying.com,Industrybuying.com - Head - QA Automation (6-10 yrs),6,10,Delhi NCR,0,0,0,0
Moengage,MoEngage - Quality Assurance Engineer - Mobile App Testing (1-3 yrs),1,3,Bangalore,0,0,0,0
Country Delight,Country Delight - Quality Assurance/Mobile Application Test Engineer - Manual Testing (2-4 yrs),2,4,"Gurgaon/Gurugram,Hyderabad",0,0,0,0
Easebuzz,Easebuzz - Quality Assurance Lead - Application Testing (3-6 yrs),3,6,Pune,0,0,0,0
FabHotels,FabHotels - Quality Assurance Lead/Manager - Automation Testing (7-13 yrs),7,13,Gurgaon/Gurugram,0,0,0,0
Publicis Sapient,Publicis Sapient - Senior Quality Engineer - Webservices/API Testing (4-10 yrs),4,10,"Bangalore,Gurgaon/Gurugram",0,0,0,0
Publicis Sapient,Publicis Sapient - Senior Quality Engineer - Selenium (4-9 yrs),4,9,"Bangalore,Gurgaon/Gurugram,Mumbai",0,0,0,0
Samsung Electro Mechanics,Samsung - Windows Testing Engineer - Manual/Automation Testing (4-8 yrs),4,8,Bangalore,0,0,0,0
MakeMyTrip,MakeMyTrip - Senior Quality Assurance Engineer - Automation Testing Tools (4-6 yrs),4,6,"Gurgaon/Gurugram,Bangalore",0,0,0,0
DELHIVERY LIMITED,Delhivery - Automation Test Engineer - Selenium/Java (2-4 yrs),2,4,Gurgaon/Gurugram,0,0,0,0
Robosoft Technologies,"Automation Testers (Appium, Java, Selenium) - Immediate joiners  (4-8 yrs)",4,8,"Bangalore,Karnataka,Any Location,Others",0,0,0,0
IndiaLends,Indialends - Lead Manual Test Engineer - Mobile App Testing (5-10 yrs),5,10,Gurgaon/Gurugram,0,0,0,0
Ekanek Networks,Ekanek Networks - QA Lead - Product Testing (4-10 yrs),4,10,Delhi NCR,0,0,0,0
LoveLocal (formerly m.Paani),LoveLocal - QA Lead Engineer - Manual/Automation Testing (8-11 yrs),8,11,Bangalore,0,0,0,0
Niyo Solutions,Niyo Solutions - Engineering Manager - Quality Assurance (9-15 yrs),9,15,Bangalore,0,0,0,0
Simpplr,Automation Test Engineer - Selenium/TestNG (2-5 yrs),2,5,Gurgaon/Gurugram,0,0,0,0
Grip Invest,Grip - Software Development Engineer - Test - Manual/Automation Testing (3-6 yrs),3,6,Delhi NCR,0,0,0,0
KreditBee,KreditBee - Senior Test Engineer - Manual/Automation Testing (4-8 yrs),4,8,Bangalore,0,1,0,0
Publicis Sapient,Publicis Sapient - Automation Quality Analyst - Java/Selenium (5-14 yrs),5,14,Anywhere in India/Multiple Locations,0,0,0,0
Publicis Sapient,Publicis Sapient - Senior Quality Engineer - Automation Testing (4-10 yrs),4,10,"Bangalore,Gurgaon/Gurugram,Noida,Pune,Mumbai,Hyderabad",0,0,0,0
Wingify,Wingify - Software Development Engineer - Test - Manual/Automation Testing (1-3 yrs),1,3,"Anywhere in India/Multiple Locations,Delhi NCR",1,0,0,0
Bharti Airtel Limited,Airtel - Software Development Engineer - Test - Appium/Mobile Testing (2-7 yrs),2,7,"Pune,Gurgaon/Gurugram",0,1,0,0
CarDekho.com,CarDekho - Quality Analyst - Manual/Automation Testing (1-3 yrs),1,3,Jaipur,0,0,0,0
SMARTWORKS COWORKING SPACES PRIVATE LIMITED,Smartworks - Quality Engineer - Automation Testing (4-8 yrs),4,8,Gurgaon/Gurugram,0,1,0,0
LambdaTest,LambdaTest - Automation Test Engineer - Selenium/Appium (1-4 yrs),1,4,Noida,0,0,0,0
Simpplr,Simpplr Software - Automation Test Engineer - Java/Selenium (2-5 yrs),2,5,Gurgaon/Gurugram,1,0,0,0
Happiest Minds,TOSCA Test Engineer - Automation Testing (4-7 yrs),4,7,"Bangalore,Pune",0,0,0,0
Mobileum,Mobileum - Quality Engineering Manager - Telecom Roaming & Analytics Products (10-15 yrs),10,15,Bangalore,0,0,0,0
Mobileum,Mobileum - Senior Quality Engineer - Big Data Testing - Telecom Domain (3-5 yrs),3,5,Bangalore,0,0,0,0
Comviva Technologies,Comviva - Director - Quality Assurance (14-17 yrs),14,17,Gurgaon/Gurugram,0,0,0,0
EY,EY - Data Tester - ETL/Datawarehouse Testing (4-12 yrs),4,12,Anywhere in India/Multiple Locations,0,0,0,0
DELHIVERY LIMITED,Delhivery - Automation Test Engineer - ISTQB/JMeter (2-3 yrs),2,3,Gurgaon/Gurugram,0,0,0,0
FabHotels,FabHotels - Team Lead - Quality Assurance (6-10 yrs),6,10,Gurgaon/Gurugram,0,0,0,0
Happiest Minds,Happiest Minds - L2/L3 Python Test Engineer (4-10 yrs),4,10,Bangalore,0,1,1,0
Publicis Sapient,Publicis Sapient - Automation Quality Engineer - Selenium/TestNG (4-8 yrs),4,8,Anywhere in India/Multiple Locations,0,0,0,0
Capgemini Technology Services India Limited,Capgemini - Test Engineer - Java/Selenium (4-6 yrs),4,6,"Chennai,Pune",0,0,0,0
