Company Name,Title,Location,qualification,Job Type
Decathlon,(Part time) Content Writer,"Bengaluru, Karnataka","Communication skills,Data entry,12th Pass",NA
Indira Priyadarshini School,Van Driver,"Bengaluru, Karnataka","Driving,Teaching experience,Bachelor's degree",NA
Ayuhsyaa Clinic,Receptionist/Administration,"Bengaluru, Karnataka","Communication skills,Hospitality",NA
Infosys,Genesys Expert,"Bengaluru, Karnataka","Product demos,Team management,Internet of things",NA
M S V Public School,TGT Social Science,"Bengaluru, Karnataka","Bachelor's degree,12th Pass,B.Ed",NA
Leventm Technologies,Data Analysis,"Bengaluru, Karnataka",Human resources,NA
Mercedes-Benz Research and Development India Private Limited,Data_GET_Confirmation-5,"Bengaluru, Karnataka",,NA
Proficed,Female Personal Secretary,"Bengaluru, Karnataka",,NA
Elfonze Technologies,Fresher Job positions,"Bengaluru, Karnataka",,NA
Capgemini,SCCM and Intune,"Bengaluru, Karnataka","Microsoft Windows Server,DNS,Software deployment,Communication skills,Operating systems",NA
Siemens,Customer Service Support Operator,"Bengaluru, Karnataka",Bachelor's degree,NA
Webisdom Management Services Pvt Lmt,Client Servicing Executive,"Bengaluru, Karnataka","Google Ads,Account management,SEO,Facebook Advertising,Digital marketing,Master's degree",NA
FloBiz,Customer Support Associate - Chat POC,"Bengaluru, Karnataka","Accounting,Analysis skills,Customer support,Communication skills,Time management,Bachelor's degree",NA
Kyndryl,Customer Service Representative: Service Desk Delivery Level 1,"Bengaluru, Karnataka","Microsoft Outlook,ITIL,Technical support,AWS",NA
Acute Professional Networks,Ethical Hacker & Data Science Free Lancer,"Bengaluru, Karnataka","Search engines,Operating systems,Windows,Computer skills,Computer networking",NA
DBS Bank,Personal Banker,"Bengaluru, Karnataka",,NA
Synopsys India Private Limited,Security Services Associate,"Bengaluru, Karnataka","Perl,SQL,.NET,PHP,COBOL,Bachelor's degree,Master's degree",NA
M S V Public School,English Teacher (CBSE),"Bengaluru, Karnataka","Teaching experience,Bachelor's degree,12th Pass,Master's degree,M.Ed,B.Ed",NA
Infinite Green Projects,Construction Site Supervisor,"Bengaluru, Karnataka",,NA
MAF Technologies Pvt Ltd,Marketing and Events Intern,"Bengaluru, Karnataka",Bachelor's degree,NA
KONRAD INTEGRATED PRIVATE LIMITED,Domestic Ticketing Executive,"Bengaluru, Karnataka","Customer service,Assembly,Communication skills,12th Pass,Diploma",NA
Defa Lighting Solutions,Interior Designer,"Bengaluru, Karnataka","Communication skills,Sketchup,3ds Max,AutoCAD,Bachelor's degree",NA
TATA Capital,Relationship Executive,"Bengaluru, Karnataka","Bachelor's degree,Master's degree",NA
INDIA JOB KART,Inbound Customer Service-Banking Process,"Bengaluru, Karnataka","Banking,Customer support,Communication skills,Bachelor's degree",NA
Infosys,Network F5 Load Balancer,"Bengaluru, Karnataka","Network security,Load balancing",NA
HSR HIGH STREET,Excel Expert,"Bengaluru, Karnataka","Analysis skills,Microsoft Excel",NA
CME Management,Admin Assistant,"Bengaluru, Karnataka","Microsoft Office,Administrative experience",NA
AAF India,Production Planning and Control,"Bengaluru, Karnataka","Production planning,Bachelor's degree",NA
Clykk Home Services,pick up and delivery,"Bengaluru, Karnataka",Driving,NA
Capgemini,SQL PostGre,"Bengaluru, Karnataka","Leadership,Communication skills,SQL,Windows,Microsoft SQL Server",NA
Lemon Peak Marketing Services Private Limited,International voice process,"Bengaluru, Karnataka","Analysis skills,Customer service,Sales,Communication skills,Bachelor's degree,12th Pass,Diploma",NA
Capgemini,"Wintel Admin & Datacenter | 4 TO 6 YEARS | MUMBAI, BENGALURU & PUNE","Bengaluru, Karnataka","Microsoft Windows Server,Microsoft Outlook,DNS,Windows,SAN",NA
streak jobs,Backend Executive,"Bengaluru, Karnataka","Microsoft Excel,Pivot tables,Communication skills,Data management,Microsoft Office",NA
